Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
92183463.2345121,97698981.34999199,85194608.98668514,373435653.66568,648512707.2368692
87950990.92505445,64206348.05015874,58509639.225452535,229597841.02868885,440264819.22935456
81513710.68623814,74290978.0182684,60647573.416783005,293504835.61453265,509957097.7358222
76378359.57942405,71957405.03383353,68214397.85385725,236961413.31495845,453511575.78207326
76659586.43775146,70973121.43958266,74237046.48884854,338888433.51619714,560758187.8823798
93703752.22520241,71341925.21974385,58979798.10913577,231116739.6919848,455142215.2460668
75253132.56721015,76935370.73584983,74375078.89140551,299892335.9283284,526455918.1227939
81905555.60809706,75005431.47014959,65984238.55909258,255981836.59917417,478877062.2365134
68977154.15994212,62470291.99560654,61415718.831069164,291723625.7646087,484586790.75122654
115640509.78426963,77522204.48607336,80353890.55359247,245973367.25287306,519489972.0768086
74495284.52964963,76039212.97328672,65624099.03213757,298898681.84235483,515057278.37742877
70884394.54636098,74947135.39604525,67671325.21694022,296801176.29084486,510304031.4501913
72997130.29675359,73395891.64051609,55538062.82153666,330538178.2096111,532469262.96841747
71182711.2968224,73847190.40403956,56940554.90569278,269529765.25023234,471500221.8567871
93132581.98989145,78745264.60792641,82573529.56137896,300139875.314782,554591251.4739789
92881684.09815985,73155148.30135648,72694997.40577443,329200292.06556875,567932121.8708595
89054462.81733355,80051013.45430702,62955916.79767147,363912592.7835788,595973985.8528908
114861195.63334809,68244233.1624167,73655191.69721071,287447776.10782623,544208396.6008017
84301506.99213037,61491962.54496639,68889118.80533227,329505969.9310747,544188558.2735038
84838848.51341504,77577899.82694343,69406866.26361573,435451657.2592244,667275271.8631986
96986555.47786896,74944730.36945443,69860847.43548438,305969638.12781775,547761771.4106255
86946698.22986762,82065278.83837737,63203552.70444874,311121722.49715316,543337252.2698469
89394163.34231725,61673963.769342266,54454199.01926232,296060939.006532,501583265.13745385
91762527.54555924,74031425.40033667,69039182.7801653,333969560.10923934,568802695.8353006
84936745.36726254,77043273.38431108,73445187.10480404,344142290.64563596,579567496.5020137
95440132.99811564,85280744.7413519,69554202.78777309,283593942.5176425,533869023.04488313
122101794.58479595,97912967.95806706,87625161.16067927,308782595.974841,616422519.6783834
99860024.9969682,78276528.8353282,67912612.47533464,351287673.48010063,597336839.7877316
85404061.07847732,91680703.367144,55594598.35559358,312957095.4634784,545636458.2646933
108062810.50213157,71905918.22952585,51782825.821338154,302081265.59974873,533832820.1527443
88773530.47672369,77451636.52926956,64193968.38084062,323882557.6222439,554301693.0090778
88996203.45964107,79915192.4135529,85482698.05873579,456597774.6528108,710991868.5847406
88803175.85406703,90659923.55844794,89555259.5722,302922603.1851706,571940962.1698856
110507898.1963363,77628201.88708094,66227579.142568514,288789525.861201,543153205.0871868
76750260.07385425,78058574.05515136,68681219.75323486,289053424.137449,512543478.0196895
88069855.80666304,78395210.65980908,64716907.71970255,337997205.85195,569179180.0381247
68517694.07287449,85115361.29177737,58530464.44428433,269008107.8701567,481171627.6790929
64506670.9925718,63236131.2423143,60528216.34356148,289435387.26471496,477706405.84316254
68164732.23875953,68598217.46890138,73452100.22235498,344264474.22507757,554479524.1550934
102353056.11500761,81518694.6968302,67058001.15206348,284508655.6448359,535438407.6087372
69881917.98046462,79578630.1409954,73223590.49417359,323171831.928329,545855970.5439626
87651604.09266432,84046326.9421481,66320232.398673914,313214889.6425777,551233053.0760641
78400191.14993218,73803886.44626296,53651002.23485718,281099810.314649,486954890.1457013
82937218.1372658,68714640.97294584,71251926.31003866,289315818.9657211,512219604.38597137
81498527.4028785,84169599.09495838,74222004.49702609,360420155.4082213,600310286.4030843
97854694.66834794,69618306.89830385,63474003.52228102,323894195.08181596,554841200.1707487
103568676.06434529,79333497.30273321,84688171.18829525,310568114.27355945,578158458.8289332
71329215.25087437,64316057.37391597,61952639.881048076,279824633.7729475,477422546.27878594
73029380.39740583,63802589.219034776,56106646.17075435,275423289.15214777,468361904.93934274
86420639.44007096,68383986.43330012,64604472.55068224,275293524.3665633,494702622.79061663
66725228.47203763,65230137.87000119,55137801.8899223,273373505.44203186,460466673.673993
97593642.09788167,71511072.50939782,73801425.24819013,292704284.5332043,535610424.3886739
