Electrical Infrastructure,PSA Oxygen Plant,Surgical Bed Expansion,Operational Costs,Total Cost
74254198.6808021,67155884.7560187,61899332.73318016,303580679.3564659,506890095.52646685
111786357.93206465,71748279.22323638,73850112.14138117,304700350.60941124,562085099.9060935
86519898.06437531,82127053.85590242,59626778.62198604,312348683.4603024,540622414.0025661
89563759.80284052,81048670.59199156,70293609.74737616,412255271.0926728,653161311.234881
78741396.57005899,69941984.31883201,58922353.47176939,275203291.03467447,482809025.39533484
78745846.04251124,85310109.47168387,81303828.57922848,302336449.7224017,547696233.8158252
76325238.67457141,77971994.26743467,61929028.39105965,322285103.29092413,538511364.6239898
90088375.23590408,64359410.645138964,74428782.5467987,379587417.81375086,608463986.2415926
79056649.10367064,71173378.69863851,66107788.0141909,313974504.6606139,530312320.47711396
96907161.59689403,98315180.4644927,72274991.98492463,290881390.5154952,558378724.5618064
69924352.97858666,66529759.68538561,61414921.21655447,361885070.1236405,559754104.0041672
80270821.98097792,76645071.92721541,65774460.068567365,348328477.4299087,571018831.4066694
130706377.32083805,78461183.9096487,64994903.959047094,345004526.2887333,619166991.4782672
97270154.03664711,96558290.53512038,78549772.57901795,311683061.498095,584061278.6488805
95859324.02932435,88377253.4486906,77885310.30799483,340827636.7572572,602949524.543267
103452298.4966566,90549593.35433906,84521905.30686657,354544167.06148344,633067964.2193457
84905042.44396795,76939031.25401504,76460552.35164508,287235334.43838644,525539960.4880145
92511601.6091235,73707834.32110998,65761863.71781994,351500780.70017564,583482080.348229
89917957.48999642,77049070.75270736,56664102.81179447,320056147.0375704,543687278.0920687
96704700.07500134,100020708.02288775,71644251.25983645,326774639.3141666,595144298.6718922
90761143.0844177,92143690.690363,70773872.61483388,325324477.71688783,579003184.1065024
96124361.98892574,79500578.93358305,64249088.8820794,310851069.945887,550725099.7504752
103567617.88319927,70287560.17785947,65851118.23343057,279392545.4989712,519098841.79346055
105601001.09286141,66663133.89112409,59472506.16924763,307157382.0568515,538894023.2100847
112055621.73578948,79949838.39917143,64268398.182343155,378527312.1747021,634801170.4920062
69159356.53494217,56017023.42725757,60582100.101621315,272705253.9488082,458463734.0126293
74051236.35356684,79587009.47026695,68472950.1790738,288157166.4576864,510268362.460594
71041912.88806903,80349990.68677306,71915619.02178435,307669143.9176122,530976666.51423866
117215280.23946801,71925795.41327706,55081484.55370219,268905463.49670154,513128023.7031488
86573640.67665994,78146422.21593793,64893360.298835196,316296225.0828607,545909648.2742938
71369912.8195522,85919152.61848618,67752327.5682898,350905934.00982875,575947327.0161569
